-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2022 
Location: Latitude  51.8997   Longitude 17.7874 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 101.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,PRECTOTCORR,QV2M,PS,WS10M,WS50M
2022,2,27,0.15,0.24,3.36,102.39,2.99,4.6
2022,2,28,-1.58,0.0,2.62,102.38,3.48,5.28
2022,3,1,-0.42,0.0,2.69,102.19,2.72,3.97
2022,3,2,0.52,0.0,2.56,101.34,1.5,2.0
2022,3,3,-0.06,0.04,3.11,100.68,2.91,4.59
2022,3,4,0.32,1.15,3.54,100.86,3.16,4.77
2022,3,5,-0.7,0.4,2.99,101.16,2.39,3.34
2022,3,6,-0.35,0.06,2.56,101.11,1.5,2.35
2022,3,7,0.37,0.05,3.3,101.0,4.02,6.23
2022,3,8,1.45,0.05,3.48,101.2,2.27,3.21
2022,3,9,1.73,0.02,3.66,101.26,3.45,5.3
2022,3,10,-0.67,0.02,2.62,102.11,5.05,7.19
2022,3,11,-1.43,0.0,2.26,102.2,5.54,8.17
2022,3,12,0.08,0.0,2.56,101.74,4.57,7.14
2022,3,13,1.94,0.0,2.87,101.46,4.45,7.55
2022,3,14,3.15,0.01,3.48,101.6,5.18,8.16
2022,3,15,5.99,0.11,5.0,101.5,3.35,5.62
2022,3,16,6.4,0.13,5.0,101.35,4.43,6.6
2022,3,17,4.95,0.0,4.15,102.05,5.14,7.48
2022,3,18,2.72,0.0,2.99,102.79,3.56,5.08
2022,3,19,2.98,0.0,2.87,103.05,4.07,6.23
2022,3,20,2.59,0.0,2.93,103.03,5.38,8.49
2022,3,21,3.73,0.0,3.23,102.74,4.48,7.44
2022,3,22,5.9,0.0,3.78,102.43,3.58,5.8
2022,3,23,7.55,0.0,4.09,101.8,3.07,4.86
2022,3,24,6.55,0.0,3.72,101.59,2.19,3.52
2022,3,25,8.12,0.0,4.39,101.48,2.62,3.91
2022,3,26,6.51,1.26,5.07,101.36,5.63,8.62
2022,3,27,4.66,0.0,3.3,101.82,3.21,4.98
2022,3,28,9.14,0.0,5.25,100.6,5.6,8.98
2022,3,29,5.4,0.23,4.58,99.65,4.18,6.16
2022,3,30,4.57,1.09,3.85,99.25,3.2,4.34
2022,3,31,2.6,0.45,3.48,99.19,6.7,8.63
